acapite,appURL,descripcionEtapa,descripcionSubEtapa,estadoProyecto,expedienteCamara,fechaIngresoExpediente,idProyecto,iniciativa,origenProyecto,tipoProyecto,urgencia
"Proyecto de Declaración “QUE INSTA A ITAIPÚ BINACIONAL A FINANCIAR LA ELABORACIÓN DE UN PLAN O PROYECTO METROPOLITANO DE TRANSPORTE PÚBLICO PARA ASUNCIÓN Y ÁREA METROPOLITANA”, presentado por el Senador Derlis Ariel Alejandro Osorio Nunes, de fecha 10 de mayo de 2023.",http://silpy.congreso.gov.py/expediente/128123,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-2311468,11/05/2023,128123,PARLAMENTARIA,CAMARA DE SENADORES,DECLARACIONES UNICAMERALES - (Art. 108-CS y 104-CD REGLAMENTO INTERNO ),ORDINARIO
"Proyecto de Resolución “QUE PIDE INFORME AL PODER EJECUTIVO – MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES”, presentado por el Senador Enrique Salyn Concepción Buzarquis Cáceres, de fecha 11 de mayo de 2023.",http://silpy.congreso.gov.py/expediente/128122,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-2311473,11/05/2023,128122,PARLAMENTARIA,CAMARA DE SENADORES,RESOLUCION CON RESPUESTA A PEDIDO DE INFORMES (Art. 192 CN),ORDINARIO
"Proyecto de Resolución “QUE PIDE INFORME AL PODER EJECUTIVO – MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES”, presentado por el Senador Enrique Salyn Concepción Buzarquis Cáceres, de fecha 11 de mayo de 2023.",http://silpy.congreso.gov.py/expediente/128121,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-2311472,11/05/2023,128121,PARLAMENTARIA,CAMARA DE SENADORES,RESOLUCION CON RESPUESTA A PEDIDO DE INFORMES (Art. 192 CN),ORDINARIO
"Proyecto de Declaración “QUE DECLARA DE INTERÉS NACIONAL EL VIII CONGRESO SUDAMERICANO DE YERBA MATE – PARAGUAY 2023”, presentado por el Senador Juan Eudes Afara Maciel, de fecha 4 de mayo de 2023.",http://silpy.congreso.gov.py/expediente/128120,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-2311470,10/05/2023,128120,PARLAMENTARIA,CAMARA DE SENADORES,DECLARACIONES UNICAMERALES - (Art. 108-CS y 104-CD REGLAMENTO INTERNO ),ORDINARIO
"Mensaje del Poder Ejecutivo N° 782 de fecha 9 de mayo de 2023, por el cual remite el Proyecto de Ley “QUE APRUEBA LOS CONTRATOS DE PRÉSTAMOS N° 31003 SUSCRITO EL 29 DE DICIEMBRE DE 2022, ENTRE LA ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD (ANDE) Y EL KREDITANSTALT FUR WIEDERAUFBAU (KFW), POR UN MONTO DE HASTA SETENTA Y CINCO MILLONES DE DÓLARES DE LOS ESTADOS UNIDOS DE AMÉRICA (US$ 75.00.000.- ), Y EL CONTRATO DE PRÉSTAMO PAR – 29/2022 SUSCRITO EL 10 DE MARZO DE 2023, ENTRE LA ANDE Y EL FONDO FINANCIERO PARA EL DESARROLLO DE LA CUENCA DEL PLATA (FONPLATA), POR UN MONTO DE HASTA CUARENTA Y CINCO MILLONES DE DÓLARES DE LOS ESTADOS UNIDOS DE AMÉRICA (US$ 45.000.000.-), Y LOS CONTRATOS DE GARANTÍA ENTRE LA REPÚBLICA DEL PARAGUAY, EL KFW Y FONPLATA, PARA EL FINANCIAMIENTO DEL ‘PROYECTO DE CONSTRUCCIÓN DE LA LÍNEA DE TRANSMISIÓN 220 KV VILLA HAYES – VILLA REAL  - POZO COLORADO - LOMA PLATA Y LA SUBESTACIÓN POZO COLORADO EN 220 KV, EN LA REGIÓN OCCIDENTAL’, A CARGO DE LA ANDE, Y AMPLÍA EL PRESUPUESTO GENERAL DE LA NACIÓN PARA EL EJERCICIO FISCAL 2023, APROBADO POR LEY N° 7050/2023”.",http://silpy.congreso.gov.py/expediente/128119,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-231893,09/05/2023,128119,PODER EJECUTIVO,CAMARA DE SENADORES,PROYECTO DE LEY,ORDINARIO
"Mensaje del Poder Ejecutivo N° 781 de fecha 3 de mayo de 2023, por el cual remite el Proyecto de Ley “QUE REGLAMENTA LA SENADURÍA VITALICIA”.",http://silpy.congreso.gov.py/expediente/128118,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-231892,05/05/2023,128118,PODER EJECUTIVO,CAMARA DE SENADORES,PROYECTO DE LEY,ORDINARIO
"Proyecto de Ley “DE SIMPLIFICACIÓN DE TRÁMITES ADMINISTRATIVOS EN ORGANISMOS Y ENTIDADES DEL ESTADO”, presentado por la Senadora Desirée Graciela Masi Jara, de fecha 8 de mayo de 2023.",http://silpy.congreso.gov.py/expediente/128117,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-2311469,10/05/2023,128117,PARLAMENTARIA,CAMARA DE SENADORES,PROYECTO DE LEY,ORDINARIO
"Proyecto de Resolución “QUE PIDE INFORME A LA ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD (ANDE) SOBRE INSTALACIÓN Y HABILITACIÓN DE ALUMBRADO PÚBLICO EN LA AVENIDA INTERNACIONAL DEL DISTRITO DE YPEHÚ, DEPARTAMENTO DE CANINDEYÚ”, presentado por el Senador Pedro Arthuro Santa Cruz Insaurralde, de fecha 9 de mayo de 2023.",http://silpy.congreso.gov.py/expediente/128116,PRIMER TRÁMITE CONSTITUCIONAL,RESOLUCIÓN QUE APRUEBA PEDIDO DE INFORME,EN TRAMITE,S-2311463,08/05/2023,128116,PARLAMENTARIA,CAMARA DE SENADORES,RESOLUCION CON RESPUESTA A PEDIDO DE INFORMES (Art. 192 CN),ORDINARIO
"Proyecto de Resolución “QUE RESUELVE SOLICITAR INFORME AL MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES CON RELACIÓN A LA LICITACIÓN PÚBLICA NACIONAL PARA LA CONTRATACIÓN DE EMPRESAS PARA EL DISEÑO, CONSTRUCCIÓN Y ACCESO VIAL DEL HOSPITAL DE CORONEL OVIEDO – CAAGUAZÚ – AD REFERENDUM A LA APROBACIÓN PRESUPUESTARIA, ID N° 385592”, presentado por el Senador Daniel Rojas López, de fecha 8 de mayo de 2023.",http://silpy.congreso.gov.py/expediente/128115,PRIMER TRÁMITE CONSTITUCIONAL,RESOLUCIÓN QUE APRUEBA PEDIDO DE INFORME,EN TRAMITE,S-2311462,08/05/2023,128115,PARLAMENTARIA,CAMARA DE SENADORES,RESOLUCION CON RESPUESTA A PEDIDO DE INFORMES (Art. 192 CN),ORDINARIO
"Proyecto de Ley “QUE MODIFICA EL ARTÍCULO 1° DE LA LEY N° 4.307 ‘QUE DECLARA DE INTERÉS SOCIAL Y EXPROPIA A FAVOR DE LA SECRETARÍA NACIONAL DE LA VIVIENDA Y EL HABITAT (SENAVITAT), UN INMUEBLE INDIVIDUALIZADO COMO PARTE DE LA FINCA N° 6.292 UBICADO EN EL BARRIO REMANSITO – SECTOR 6 DEL MUNICIPIO DE CIUDAD DEL ESTE, PARA SU POSTERIOR TRANSFERENCIA A TÍTULO ONEROSO A FAVOR DE SUS ACTUALES OCUPANTES”, presentado por la Senadora Georgia María Arrúa de Dolinsky, de fecha 10 de mayo de 2023.",http://silpy.congreso.gov.py/expediente/128114,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-2311471,10/05/2023,128114,PARLAMENTARIA,CAMARA DE SENADORES,PROYECTO DE LEY,ORDINARIO
